Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2018-01-01;22,416667;
2018-01-02;21,908333;
2018-01-03;22,083333;
2018-01-04;21,116667;
2018-01-05;21,633333;
2018-01-06;21,558333;
2018-01-07;18,229167;
2018-01-08;17,104167;
2018-01-09;18,183333;
2018-01-10;19,4;
2018-01-11;20,204167;
2018-01-12;20,2875;
2018-01-13;20,858333;
2018-01-14;21,6625;
2018-01-15;22,195833;
2018-01-16;22,4;
2018-01-17;21,545833;
2018-01-18;22,666667;
2018-01-19;20,370833;
2018-01-20;19,558333;
2018-01-21;20,829167;
2018-01-22;22,783333;
2018-01-23;23,354167;
2018-01-24;22,916667;
2018-01-25;20,975;
2018-01-26;18,433333;
2018-01-27;18;
2018-01-28;21,3875;
2018-01-29;20,8;
2018-01-30;18,366667;
2018-01-31;19,979167;
2018-02-01;19,216667;
2018-02-02;20,0125;
2018-02-03;19,6875;
2018-02-04;18,716667;
2018-02-05;18,470833;
2018-02-06;19,679167;
2018-02-07;19,920833;
2018-02-08;22,166667;
2018-02-09;23,85;
2018-02-10;23,6125;
2018-02-11;22,533333;
2018-02-12;19,304167;
2018-02-13;15,9625;
2018-02-14;15,991667;
2018-02-15;17,079167;
2018-02-16;17,654167;
2018-02-17;18,4625;
2018-02-18;19,725;
2018-02-19;20,554167;
2018-02-20;20,575;
2018-02-21;21,429167;
2018-02-22;21,691667;
2018-02-23;19,725;
2018-02-24;19,658333;
2018-02-25;20,025;
2018-02-26;20,583333;
2018-02-27;20,829167;
2018-02-28;21,691667;
2018-03-01;22,895833;
2018-03-02;22,095833;
2018-03-03;21,725;
2018-03-04;21,529167;
2018-03-05;23,108333;
2018-03-06;22,375;
2018-03-07;19,933333;
2018-03-08;18,429167;
2018-03-09;20,191667;
2018-03-10;20,858333;
2018-03-11;23,3;
2018-03-12;23,5625;
2018-03-13;22,5875;
2018-03-14;21,8625;
2018-03-15;21,5625;
2018-03-16;21,9875;
2018-03-17;22,454167;
2018-03-18;23,225;
2018-03-19;24,470833;
2018-03-20;21,858333;
2018-03-21;19,325;
2018-03-22;17,954167;
2018-03-23;20,941667;
2018-03-24;23,183333;
2018-03-25;21,708333;
2018-03-26;17,633333;
2018-03-27;19,095833;
2018-03-28;20,383333;
2018-03-29;20,475;
2018-03-30;20,308333;
2018-03-31;20,1875;
2018-04-01;21,416667;
2018-04-02;21,533333;
2018-04-03;19,983333;
2018-04-04;20,504167;
2018-04-05;19,816667;
2018-04-06;19,395833;
2018-04-07;19,745833;
2018-04-08;19,9625;
2018-04-09;19,520833;
2018-04-10;20,4375;
2018-04-11;20,225;
2018-04-12;20,383333;
2018-04-13;20,870833;
2018-04-14;17,829167;
2018-04-15;16,295833;
2018-04-16;15,504167;
2018-04-17;15,645833;
2018-04-18;17,154167;
2018-04-19;18,9875;
2018-04-20;18,816667;
2018-04-21;19,095833;
2018-04-22;18,608333;
2018-04-23;18,5625;
2018-04-24;19,070833;
2018-04-25;19,045833;
2018-04-26;20,583333;
2018-04-27;20,608333;
2018-04-28;20,704167;
2018-04-29;20,7375;
2018-04-30;21,0375;
2018-05-01;20,875;
2018-05-02;19,975;
2018-05-03;20,966667;
2018-05-04;21,95;
2018-05-05;20,225;
2018-05-06;19,504167;
2018-05-07;17,45;
2018-05-08;16,770833;
2018-05-09;16,775;
2018-05-10;17,295833;
2018-05-11;19,104167;
2018-05-12;17,658333;
2018-05-13;16,816667;
2018-05-14;16,341667;
2018-05-15;18,683333;
2018-05-16;17,3125;
2018-05-17;16,858333;
2018-05-18;18,908333;
2018-05-19;14,8;
2018-05-20;null;
2018-05-21;null;
2018-05-22;null;
2018-05-23;13,9625;
2018-05-24;14,004167;
2018-05-25;14,191667;
2018-05-26;14,95;
2018-05-27;16,35;
2018-05-28;15,133333;
2018-05-29;14,754167;
2018-05-30;15,4125;
2018-05-31;15,733333;
2018-06-01;16,241667;
2018-06-02;16,625;
2018-06-03;12,891667;
2018-06-04;11,333333;
2018-06-05;13,4625;
2018-06-06;13,670833;
2018-06-07;12,95;
2018-06-08;null;
2018-06-09;null;
2018-06-10;16,5125;
2018-06-11;21,341667;
2018-06-12;19,975;
2018-06-13;16,095833;
2018-06-14;10,141667;
2018-06-15;9,047826;
2018-06-16;null;
2018-06-17;11,304348;
2018-06-18;12,925;
2018-06-19;14,4875;
2018-06-20;14,791667;
2018-06-21;15,679167;
2018-06-22;17,045833;
2018-06-23;16,9125;
2018-06-24;17,591667;
2018-06-25;18,208333;
2018-06-26;19,295833;
2018-06-27;15,6875;
2018-06-28;17,175;
2018-06-29;17,570833;
2018-06-30;17,733333;
2018-07-01;17,791667;
2018-07-02;19,279167;
2018-07-03;15,841667;
2018-07-04;13,683333;
2018-07-05;16,404167;
2018-07-06;18,604167;
2018-07-07;17,154167;
2018-07-08;18,983333;
2018-07-09;12,5;
2018-07-10;null;
2018-07-11;null;
2018-07-12;null;
2018-07-13;null;
2018-07-14;16,508333;
2018-07-15;18,820833;
2018-07-16;19;
2018-07-17;18,745833;
2018-07-18;17,066667;
2018-07-19;18,83913;
2018-07-20;19,866667;
2018-07-21;16,379167;
2018-07-22;12,754167;
2018-07-23;16,954167;
2018-07-24;14,1375;
2018-07-25;14,691667;
2018-07-26;16,854167;
2018-07-27;17,35;
2018-07-28;18,591667;
2018-07-29;20,229167;
2018-07-30;14,4375;
2018-07-31;13,045833;
2018-08-01;9,554167;
2018-08-02;12,104348;
2018-08-03;14,279167;
2018-08-04;14,291667;
2018-08-05;15,220833;
2018-08-06;13,55;
2018-08-07;13,427273;
2018-08-08;14,520833;
2018-08-09;15,625;
2018-08-10;null;
2018-08-11;null;
2018-08-12;null;
2018-08-13;13,190909;
2018-08-14;15,391667;
2018-08-15;12,75;
2018-08-16;11,126087;
2018-08-17;12,370833;
2018-08-18;14,379167;
2018-08-19;16,795833;
2018-08-20;17,891667;
2018-08-21;14,333333;
2018-08-22;14,729167;
2018-08-23;18,5;
2018-08-24;18,070833;
2018-08-25;14,933333;
2018-08-26;null;
2018-08-27;null;
2018-08-28;13,829167;
2018-08-29;17,154167;
2018-08-30;19,4125;
2018-08-31;21,958333;
2018-09-01;18,083333;
2018-09-02;16,745833;
2018-09-03;15,245833;
2018-09-04;12,4875;
2018-09-05;null;
2018-09-06;null;
2018-09-07;15,456522;
2018-09-08;15,720833;
2018-09-09;14,408333;
2018-09-10;14,475;
2018-09-11;14,1;
2018-09-12;14,104167;
2018-09-13;14,354167;
2018-09-14;14,995833;
2018-09-15;15,3625;
2018-09-16;14,8375;
2018-09-17;15,420833;
2018-09-18;19,720833;
2018-09-19;20,779167;
2018-09-20;16,6875;
2018-09-21;18,275;
2018-09-22;20,620833;
2018-09-23;21,6875;
2018-09-24;20,683333;
2018-09-25;18,5125;
2018-09-26;19,4875;
