Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.60253
Longitude: -48.620096
Altitude: 4.87
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2018-01-01;25,579167;
2018-01-02;26,025;
2018-01-03;24,883333;
2018-01-04;25,629167;
2018-01-05;25,4625;
2018-01-06;25,520833;
2018-01-07;23,7;
2018-01-08;22,891667;
2018-01-09;21,725;
2018-01-10;22,004167;
2018-01-11;22,7125;
2018-01-12;24,079167;
2018-01-13;24,725;
2018-01-14;26,920833;
2018-01-15;27;
2018-01-16;25,179167;
2018-01-17;25,395833;
2018-01-18;27,454167;
2018-01-19;25,1875;
2018-01-20;24,845833;
2018-01-21;24,333333;
2018-01-22;25,0875;
2018-01-23;26,1875;
2018-01-24;25,958333;
2018-01-25;24,341667;
2018-01-26;22,754167;
2018-01-27;23,195833;
2018-01-28;24,4125;
2018-01-29;25,408333;
2018-01-30;23,483333;
2018-01-31;24,041667;
2018-02-01;24,183333;
2018-02-02;24,345833;
2018-02-03;23,166667;
2018-02-04;23,4;
2018-02-05;23,283333;
2018-02-06;23,916667;
2018-02-07;25,266667;
2018-02-08;25,995833;
2018-02-09;26,566667;
2018-02-10;26,0375;
2018-02-11;25,554167;
2018-02-12;23,2;
2018-02-13;23,033333;
2018-02-14;22,6875;
2018-02-15;22,529167;
2018-02-16;23,054167;
2018-02-17;23,5125;
2018-02-18;24,7625;
2018-02-19;24,645833;
2018-02-20;25,679167;
2018-02-21;25,166667;
2018-02-22;23,758333;
2018-02-23;22,729167;
2018-02-24;23,266667;
2018-02-25;24,283333;
2018-02-26;25,4625;
2018-02-27;24,391667;
2018-02-28;24,5125;
2018-03-01;26,233333;
2018-03-02;24,75;
2018-03-03;24,7125;
2018-03-04;23,721739;
2018-03-05;25,020833;
2018-03-06;24,920833;
2018-03-07;23,016667;
2018-03-08;22,45;
2018-03-09;23,529167;
2018-03-10;25,404167;
2018-03-11;27,129167;
2018-03-12;24,366667;
2018-03-13;23,770833;
2018-03-14;25,045833;
2018-03-15;25,591667;
2018-03-16;24,183333;
2018-03-17;24,725;
2018-03-18;26,258333;
2018-03-19;26,4;
2018-03-20;22,025;
2018-03-21;23,141667;
2018-03-22;22,729167;
2018-03-23;24,804167;
2018-03-24;26,641667;
2018-03-25;25,658333;
