Nome: PORTO ALEGRE
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2018-01-01;24,595833;
2018-01-02;23,1625;
2018-01-03;24,158333;
2018-01-04;26,191667;
2018-01-05;28,45;
2018-01-06;24,8875;
2018-01-07;22,158333;
2018-01-08;22,9;
2018-01-09;23,983333;
2018-01-10;25,1875;
2018-01-11;24,8375;
2018-01-12;24,516667;
2018-01-13;25,933333;
2018-01-14;25,533333;
2018-01-15;25,658333;
2018-01-16;24,558333;
2018-01-17;25,195833;
2018-01-18;26,229167;
2018-01-19;25,375;
2018-01-20;25,295833;
2018-01-21;22,729167;
2018-01-22;22,720833;
2018-01-23;24,5625;
2018-01-24;25,279167;
2018-01-25;23,558333;
2018-01-26;22,208333;
2018-01-27;24,079167;
2018-01-28;25,041667;
2018-01-29;23,883333;
2018-01-30;24;
2018-01-31;24,25;
2018-02-01;24,25;
2018-02-02;24,4375;
2018-02-03;24,358333;
2018-02-04;23,2;
2018-02-05;23,929167;
2018-02-06;24,7125;
2018-02-07;25,0125;
2018-02-08;26,0875;
2018-02-09;26,4375;
2018-02-10;25,6;
2018-02-11;23,4375;
2018-02-12;20,920833;
2018-02-13;20,454167;
2018-02-14;22,029167;
2018-02-15;22,795833;
2018-02-16;23,629167;
2018-02-17;24,295833;
2018-02-18;25,475;
2018-02-19;24,941667;
2018-02-20;23,220833;
2018-02-21;22,695833;
2018-02-22;21,625;
2018-02-23;22,716667;
2018-02-24;23,375;
2018-02-25;24,154167;
2018-02-26;24,0875;
2018-02-27;24,325;
2018-02-28;23,65;
2018-03-01;25,679167;
2018-03-02;25,733333;
2018-03-03;24,770833;
2018-03-04;25,1375;
2018-03-05;24,875;
2018-03-06;23,8875;
2018-03-07;21,720833;
2018-03-08;21,416667;
2018-03-09;22,375;
2018-03-10;25,075;
2018-03-11;26,3;
2018-03-12;20,516667;
2018-03-13;21,1;
2018-03-14;24,683333;
2018-03-15;23,8875;
2018-03-16;21,708333;
2018-03-17;23,866667;
2018-03-18;27,841667;
2018-03-19;22,6375;
2018-03-20;19,033333;
2018-03-21;19,658333;
2018-03-22;19,779167;
2018-03-23;24,083333;
2018-03-24;23,358333;
2018-03-25;21,195833;
2018-03-26;18,983333;
2018-03-27;20,816667;
2018-03-28;22,883333;
2018-03-29;23,0125;
2018-03-30;24,175;
2018-03-31;22,325;
2018-04-01;22,045833;
2018-04-02;21,2375;
2018-04-03;22,275;
2018-04-04;21,691667;
2018-04-05;21,716667;
2018-04-06;21,945833;
2018-04-07;23,516667;
2018-04-08;23,816667;
2018-04-09;24,495833;
2018-04-10;24,854167;
2018-04-11;26,333333;
2018-04-12;27,170833;
2018-04-13;20,608333;
2018-04-14;19,6125;
2018-04-15;21,095833;
2018-04-16;21,533333;
2018-04-17;21,629167;
2018-04-18;22,8625;
2018-04-19;23,358333;
2018-04-20;24,475;
2018-04-21;20,908333;
2018-04-22;22,545833;
2018-04-23;24,508333;
2018-04-24;24,291667;
2018-04-25;24,35;
2018-04-26;23,983333;
2018-04-27;23,5375;
2018-04-28;24,891667;
2018-04-29;25,391667;
2018-04-30;23,575;
2018-05-01;19,841667;
2018-05-02;20,770833;
2018-05-03;22;
2018-05-04;21,366667;
2018-05-05;21,7875;
2018-05-06;21,675;
2018-05-07;20,654167;
2018-05-08;21,5625;
2018-05-09;21,813043;
2018-05-10;23,241667;
2018-05-11;21,195833;
2018-05-12;18,804167;
2018-05-13;16,583333;
2018-05-14;18,4125;
2018-05-15;18,479167;
2018-05-16;17,691667;
2018-05-17;15,2625;
2018-05-18;15,579167;
2018-05-19;13,9625;
2018-05-20;12,3875;
2018-05-21;13,845833;
2018-05-22;13,075;
2018-05-23;12,075;
2018-05-24;10,983333;
2018-05-25;11,858333;
2018-05-26;15,7;
2018-05-27;18,733333;
2018-05-28;20,579167;
2018-05-29;20,195833;
2018-05-30;20,316667;
2018-05-31;18,779167;
2018-06-01;18,570833;
2018-06-02;14,083333;
2018-06-03;10,6125;
2018-06-04;14,5;
2018-06-05;14,3875;
2018-06-06;12,4625;
2018-06-07;11,15;
2018-06-08;11,1625;
2018-06-09;12,45;
2018-06-10;16,808333;
2018-06-11;23,054167;
2018-06-12;17,245833;
2018-06-13;11,695833;
2018-06-14;8,9875;
2018-06-15;8,191667;
2018-06-16;7,345455;
2018-06-17;7,404167;
2018-06-18;11,145833;
2018-06-19;12,6625;
2018-06-20;15,345833;
2018-06-21;17,429167;
2018-06-22;13,416667;
2018-06-23;15,458333;
2018-06-24;11,533333;
2018-06-25;11,645833;
2018-06-26;11,8375;
2018-06-27;12,445833;
2018-06-28;13,533333;
2018-06-29;16,145833;
2018-06-30;15,441667;
2018-07-01;17,245833;
2018-07-02;16,729167;
2018-07-03;11,675;
2018-07-04;10,125;
2018-07-05;11,645833;
2018-07-06;13,8125;
2018-07-07;17,283333;
2018-07-08;13,6375;
2018-07-09;11,666667;
2018-07-10;12,358333;
2018-07-11;12,520833;
2018-07-12;11,720833;
2018-07-13;11,991667;
2018-07-14;15,7;
2018-07-15;20,275;
2018-07-16;15,275;
2018-07-17;17,120833;
2018-07-18;20,483333;
2018-07-19;21,495833;
2018-07-20;20,429167;
2018-07-21;11,141667;
2018-07-22;11,733333;
2018-07-23;13,333333;
2018-07-24;12,0375;
2018-07-25;14,35;
2018-07-26;15,966667;
2018-07-27;14,116667;
2018-07-28;14,275;
2018-07-29;14,208333;
2018-07-30;14,195833;
2018-07-31;11,283333;
2018-08-01;10,670833;
2018-08-02;13,2625;
2018-08-03;16,783333;
2018-08-04;16,6625;
2018-08-05;13,3875;
2018-08-06;13,054167;
2018-08-07;14,770833;
2018-08-08;14,1;
2018-08-09;11,283333;
2018-08-10;9,670833;
2018-08-11;11,541667;
2018-08-12;14,829167;
2018-08-13;16,7125;
2018-08-14;16,308333;
2018-08-15;14,120833;
2018-08-16;13,345833;
2018-08-17;16,5625;
2018-08-18;17,279167;
2018-08-19;16,5875;
2018-08-20;9,5625;
2018-08-21;10,358333;
2018-08-22;12,054167;
2018-08-23;13,9625;
2018-08-24;16,208333;
2018-08-25;12,4375;
2018-08-26;9,8625;
2018-08-27;11,154167;
2018-08-28;14,15;
2018-08-29;19,495833;
2018-08-30;19,116667;
2018-08-31;17,475;
2018-09-01;16,9875;
2018-09-02;18,120833;
2018-09-03;16,291667;
2018-09-04;15,420833;
2018-09-05;14,9;
2018-09-06;17,275;
2018-09-07;18,2125;
2018-09-08;18,166667;
2018-09-09;17,608333;
2018-09-10;18,329167;
2018-09-11;16,391667;
2018-09-12;17,775;
2018-09-13;19,6625;
2018-09-14;18,179167;
2018-09-15;17,945833;
2018-09-16;19,404167;
2018-09-17;19,554167;
2018-09-18;19,445833;
2018-09-19;21,329167;
2018-09-20;18,8125;
2018-09-21;20,391667;
2018-09-22;24,325;
2018-09-23;20,829167;
2018-09-24;19,470833;
2018-09-25;18,833333;
2018-09-26;21,779167;
2018-09-27;20,9375;
2018-09-28;21,233333;
2018-09-29;24,525;
2018-09-30;21,216667;
2018-10-01;20,945833;
2018-10-02;16,375;
2018-10-03;16,566667;
2018-10-04;17,454167;
2018-10-05;16,304167;
2018-10-06;15,475;
2018-10-07;20,545833;
2018-10-08;23,4375;
2018-10-09;22,504167;
2018-10-10;20,25;
2018-10-11;17,991667;
2018-10-12;20,8625;
2018-10-13;18,295833;
2018-10-14;17,625;
2018-10-15;19,8625;
2018-10-16;22,029167;
2018-10-17;24,075;
2018-10-18;23,170833;
2018-10-19;21,141667;
2018-10-20;17,941667;
2018-10-21;18,279167;
2018-10-22;21,845833;
2018-10-23;21,0375;
2018-10-24;19,358333;
2018-10-25;21,8125;
2018-10-26;21,454167;
2018-10-27;19,329167;
2018-10-28;18,55;
2018-10-29;20,083333;
2018-10-30;23,720833;
2018-10-31;22,6375;
2018-11-01;19,533333;
2018-11-02;19,395833;
2018-11-03;19,591667;
2018-11-04;19,645833;
2018-11-05;21,8;
2018-11-06;22,225;
2018-11-07;21,791667;
2018-11-08;21,791667;
2018-11-09;23,325;
2018-11-10;25,8375;
2018-11-11;26,9625;
2018-11-12;26,058333;
2018-11-13;27,245833;
2018-11-14;24,375;
2018-11-15;23,2375;
2018-11-16;22,945833;
2018-11-17;23,716667;
2018-11-18;20,745833;
2018-11-19;19,241667;
2018-11-20;20,5625;
2018-11-21;22,504167;
2018-11-22;24,620833;
2018-11-23;25,716667;
2018-11-24;21,358333;
2018-11-25;21,195833;
2018-11-26;19,8375;
2018-11-27;21,416667;
2018-11-28;22,220833;
2018-11-29;25,129167;
2018-11-30;23,445833;
2018-12-01;22,083333;
2018-12-02;18,791667;
2018-12-03;18,754167;
2018-12-04;20,995833;
2018-12-05;21,283333;
2018-12-06;19,9375;
2018-12-07;18,825;
2018-12-08;18,8375;
2018-12-09;22,158333;
2018-12-10;26,008333;
2018-12-11;28,991667;
2018-12-12;26,866667;
2018-12-13;25,141667;
2018-12-14;26,229167;
2018-12-15;24,3625;
2018-12-16;26,408333;
2018-12-17;27,966667;
2018-12-18;23,3;
2018-12-19;23,783333;
2018-12-20;23,420833;
2018-12-21;23,145833;
2018-12-22;25,658333;
2018-12-23;24,329167;
2018-12-24;23,458333;
2018-12-25;23,8625;
2018-12-26;25,241667;
2018-12-27;26,141667;
2018-12-28;27,645833;
2018-12-29;27,483333;
2018-12-30;28,5;
2018-12-31;27,208333;
2019-01-01;28,75;
2019-01-02;30,795833;
2019-01-03;26,441667;
2019-01-04;21,958333;
2019-01-05;23,145833;
2019-01-06;26,770833;
2019-01-07;27,9375;
2019-01-08;26,816667;
2019-01-09;26,208333;
2019-01-10;26,675;
2019-01-11;24,1375;
2019-01-12;23,654167;
2019-01-13;27,320833;
2019-01-14;27,420833;
2019-01-15;28,320833;
2019-01-16;27,05;
2019-01-17;25,25;
2019-01-18;24,170833;
2019-01-19;21,879167;
2019-01-20;22,675;
2019-01-21;24,0875;
2019-01-22;26,275;
2019-01-23;27,775;
2019-01-24;26,345833;
2019-01-25;26,404167;
2019-01-26;28,4;
2019-01-27;28,354167;
2019-01-28;29,891667;
2019-01-29;30,4375;
2019-01-30;31,704167;
2019-01-31;29,25;
2019-02-01;26,575;
2019-02-02;25,383333;
2019-02-03;22,670833;
2019-02-04;21,945833;
2019-02-05;22,608333;
2019-02-06;23,5125;
2019-02-07;24,995833;
2019-02-08;26,4875;
2019-02-09;28,816667;
