Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2018-03-13;null;
2018-03-14;null;
2018-03-15;null;
2018-03-16;24,1875;
2018-03-17;22,770833;
2018-03-18;22,4375;
2018-03-19;24,141667;
2018-03-20;23,545833;
2018-03-21;21,3375;
2018-03-22;20,283333;
2018-03-23;22,433333;
2018-03-24;23,733333;
2018-03-25;24,866667;
2018-03-26;22,504167;
2018-03-27;21,725;
2018-03-28;21,283333;
2018-03-29;21,525;
2018-03-30;21,595833;
2018-03-31;22,204167;
2018-04-01;22,7875;
2018-04-02;22,079167;
2018-04-03;21,520833;
2018-04-04;20,370833;
2018-04-05;20,504167;
2018-04-06;20,783333;
2018-04-07;20,670833;
2018-04-08;21,066667;
2018-04-09;20,9;
2018-04-10;20,7;
2018-04-11;20,570833;
2018-04-12;21,345833;
2018-04-13;22,441667;
2018-04-14;20,433333;
2018-04-15;18,6;
2018-04-16;17,725;
2018-04-17;17,929167;
2018-04-18;17,879167;
2018-04-19;18,35;
2018-04-20;18,4;
2018-04-21;17,091667;
2018-04-22;18,854167;
2018-04-23;19,491667;
2018-04-24;19,616667;
2018-04-25;19,875;
2018-04-26;20,095833;
2018-04-27;21,116667;
2018-04-28;21,191667;
2018-04-29;21,029167;
2018-04-30;22,133333;
2018-05-01;20,333333;
2018-05-02;20,195833;
2018-05-03;21,679167;
2018-05-04;22,133333;
2018-05-05;21,158333;
2018-05-06;19,858333;
2018-05-07;19,416667;
2018-05-08;18,3125;
2018-05-09;17,8125;
2018-05-10;19,1875;
2018-05-11;20,8875;
2018-05-12;19,304167;
2018-05-13;17,416667;
2018-05-14;17,575;
2018-05-15;19,620833;
2018-05-16;19,379167;
2018-05-17;18,516667;
2018-05-18;21,329167;
2018-05-19;19,7;
2018-05-20;13,795833;
2018-05-21;13,15;
2018-05-22;14,7375;
2018-05-23;14,608333;
2018-05-24;15,833333;
2018-05-25;16,541667;
2018-05-26;16,975;
2018-05-27;16,695833;
2018-05-28;16,129167;
2018-05-29;16,829167;
2018-05-30;17,258333;
2018-05-31;17,1375;
2018-06-01;19,341667;
2018-06-02;19,9125;
2018-06-03;15,7125;
2018-06-04;13,966667;
2018-06-05;15,3875;
2018-06-06;16,104167;
2018-06-07;17,395833;
2018-06-08;15,433333;
2018-06-09;15,191667;
2018-06-10;18,758333;
2018-06-11;21,529167;
2018-06-12;22,445833;
2018-06-13;20,079167;
2018-06-14;14,591667;
2018-06-15;13,441667;
2018-06-16;13,408333;
2018-06-17;13,708333;
2018-06-18;15,079167;
2018-06-19;16,458333;
2018-06-20;18,3375;
2018-06-21;18,6125;
2018-06-22;18,120833;
2018-06-23;18,508333;
2018-06-24;20,5625;
2018-06-25;19,825;
2018-06-26;19,725;
2018-06-27;16,35;
2018-06-28;18,958333;
2018-06-29;19,4125;
2018-06-30;18,879167;
2018-07-01;18,258333;
2018-07-02;20,116667;
2018-07-03;17,291667;
2018-07-04;15,466667;
2018-07-05;18,075;
2018-07-06;19,129167;
2018-07-07;18,645833;
2018-07-08;19,5375;
2018-07-09;16,670833;
2018-07-10;11,166667;
2018-07-11;10,504167;
2018-07-12;11,166667;
2018-07-13;14,570833;
2018-07-14;17,525;
2018-07-15;18,566667;
2018-07-16;19,108333;
2018-07-17;17,416667;
2018-07-18;18,6625;
2018-07-19;19,933333;
2018-07-20;20,958333;
2018-07-21;17,704167;
2018-07-22;14,9;
2018-07-23;18,3625;
2018-07-24;15,325;
2018-07-25;16,204167;
2018-07-26;17,183333;
2018-07-27;18,829167;
2018-07-28;19,858333;
2018-07-29;21,666667;
2018-07-30;16,854167;
2018-07-31;14,941667;
2018-08-01;12,4375;
2018-08-02;14;
2018-08-03;15,0375;
2018-08-04;16,445833;
2018-08-05;15,333333;
2018-08-06;13,354167;
2018-08-07;12,933333;
2018-08-08;16,595833;
2018-08-09;18,9625;
2018-08-10;14,995833;
2018-08-11;13,5625;
2018-08-12;12,675;
2018-08-13;13,05;
2018-08-14;15,925;
2018-08-15;13,3125;
2018-08-16;14,691667;
2018-08-17;13,983333;
2018-08-18;15,033333;
2018-08-19;17,466667;
2018-08-20;19,545833;
2018-08-21;16,2;
2018-08-22;17,429167;
2018-08-23;20,1;
2018-08-24;21,758333;
2018-08-25;18,5125;
2018-08-26;11,870833;
2018-08-27;11,4;
2018-08-28;15,629167;
2018-08-29;17,295833;
2018-08-30;20,633333;
2018-08-31;22,370833;
2018-09-01;20,229167;
2018-09-02;19,904167;
2018-09-03;18,608333;
2018-09-04;13,6125;
2018-09-05;11,95;
2018-09-06;12,833333;
2018-09-07;16,0375;
2018-09-08;15,433333;
2018-09-09;15,679167;
2018-09-10;16,183333;
2018-09-11;15,875;
2018-09-12;15,683333;
2018-09-13;16,733333;
2018-09-14;16,329167;
2018-09-15;17,1125;
2018-09-16;15,791667;
2018-09-17;16,395833;
2018-09-18;20,7;
2018-09-19;22,65;
2018-09-20;19,425;
2018-09-21;19,3625;
2018-09-22;19,116667;
2018-09-23;21,341667;
2018-09-24;19,891667;
2018-09-25;18,483333;
2018-09-26;21,383333;
2018-09-27;20,2875;
